序号,代码,简称,事件类型,具体事项,交易日
3,code.000565,渝三峡A,资产重组,"重庆三峡油漆股份有限公司拟以现金3,036.82万元受让重庆晓满科技合伙企业(有限合伙)持有的重庆蔚蓝时代节能技术有限公司40.49%的股权,并以现金2,318.18万元对标的公司进行增资;重庆渝富控股集团有限公司拟以现金893.18万元受让晓满科技持有的标的公司11.91%的股权,并以现金681.82万元对标的公司进行增资。本次交易完成后,公司持有标的公司51%的股权,渝富控股持有标的公司15%的股权。",2025-07-12
4,code.000691,*ST亚太,股份质押,"公司股东广州万顺技术有限公司将持有的本公司股份335万股质押给北京嵩源方舟企业管理合伙企业(有限合伙),质押起始日2025/07/10至办理解除质押登记之日并于2025年07月10日办理质押登记手续。",2025-07-12
5,code.000701,厦门信达,对外担保,"5、公司已与中国银行股份有限公司厦门湖里支行签订《最高额保证合同》,为全资子公司厦门信达智慧物联网技术服务有限公司(以下简称“信达智慧”)向中国银行股份有限公司厦门湖里支行申请1,000万元的融资额度提供连带责任担保,期限2年11个月。",2025-07-12
6,code.000701,厦门信达,对外担保,"15、公司全资子公司信达国贸汽车已与厦门农村商业银行股份有限公司滨海支行签订《最高额保证合同》,为全资子公司厦门信达通商汽车销售服务有限公司(以下简称“信达通商”)向厦门农村商业银行股份有限公司滨海支行申请990万元的融资额度提供连带责任担保,期限3年。",2025-07-12
7,code.000701,厦门信达,对外担保,"14、公司全资子公司信达国贸汽车已与厦门农村商业银行股份有限公司滨海支行签订《最高额保证合同》,为全资子公司厦门国贸启泰汽车服务有限公司(以下简称“国贸启泰”)向厦门农村商业银行股份有限公司滨海支行申请990万元的融资额度提供连带责任担保,期限3年。",2025-07-12
8,code.000701,厦门信达,对外担保,"12、公司全资子公司信达国贸汽车已与福建海峡银行股份有限公司厦门分行签订《最高额保证合同》,为全资子公司厦门信达淘靓车科技有限公司(以下简称“信达淘靓车”)向福建海峡银行股份有限公司厦门分行申请1,000万元的融资额度提供连带责任担保,期限1年。",2025-07-12
9,code.000701,厦门信达,对外担保,"1、公司已与兴业银行股份有限公司厦门分行签订《最高额保证合同》,为全资子公司信达资源(新加坡)有限公司(以下简称“信达新加坡”)向兴业银行股份有限公司厦门分行申请20,000万元的融资额度提供连带责任担保,期限1年11个月。",2025-07-12
10,code.000701,厦门信达,对外担保,"4、公司已与上海浦东发展银行股份有限公司厦门分行签订《保证合同》,为全资子公司信达数科向上海浦东发展银行股份有限公司厦门分行申请174万元的融资额度提供连带责任担保,期限10年。",2025-07-12
11,code.000701,厦门信达,对外担保,"8、公司已与上海农村商业银行股份有限公司临港新片区分行签订《最高额保证合同》,为全资子公司上海信达诺有限公司(以下简称“上海信达诺”)向上海农村商业银行股份有限公司临港新片区分行申请18,000万元的融资额度提供连带责任担保,期限1年。",2025-07-12
12,code.000701,厦门信达,对外担保,"6、公司已与中国邮政储蓄银行股份有限公司厦门集美区支行签订《小企业保证合同》,为全资子公司厦门信达物联科技有限公司(以下简称“信达物联”)向中国邮政储蓄银行股份有限公司厦门集美区支行申请3,000万元的融资额度提供连带责任担保,期限3年。",2025-07-12
13,code.000701,厦门信达,对外担保,"7、公司已与中国光大银行股份有限公司厦门分行签订《最高额保证合同》,为全资子公司信达物联向中国光大银行股份有限公司厦门分行申请10,000万元的融资额度提供连带责任担保,期限3年。",2025-07-12
14,code.000701,厦门信达,对外担保,"10、公司已与厦门农村商业银行股份有限公司签订《最高额保证合同》,为控股子公司信达安向厦门农村商业银行股份有限公司申请13,600万元的融资额度提供连带责任担保,期限11个月。",2025-07-12
15,code.000701,厦门信达,对外担保,"3、公司已与中信银行股份有限公司厦门分行签订《最高额保证合同》,为全资子公司信达数科向中信银行股份有限公司厦门分行申请4,866.54万元的融资额度提供连带责任担保,期限10年。",2025-07-12
16,code.000701,厦门信达,对外担保,"13、公司全资子公司信达国贸汽车已与中国银行股份有限公司厦门湖里支行签订《最高额保证合同》,为全资子公司信达淘靓车向中国银行股份有限公司厦门湖里支行申请1,000万元的融资额度提供连带责任担保,期限1年。",2025-07-12
17,code.000701,厦门信达,对外担保,"2、公司已与兴业银行股份有限公司厦门分行签订《保证合同》,为全资子公司厦门信达数智科技有限公司(以下简称“信达数科”)向兴业银行股份有限公司厦门分行申请600万元的融资额度提供连带责任担保,期限10年。",2025-07-12
18,code.000701,厦门信达,对外担保,"11、公司全资子公司厦门信达国贸汽车集团股份有限公司(以下简称“信达国贸汽车”)已与福建海峡银行股份有限公司厦门分行签订《最高额保证合同》,为全资子公司厦门大邦通商汽车贸易有限公司(以下简称“大邦通商”)向福建海峡银行股份有限公司厦门分行申请1,000万元的融资额度提供连带责任担保,期限1年。",2025-07-12
19,code.000701,厦门信达,对外担保,"9、公司已与兴业银行股份有限公司厦门分行签订《最高额保证合同》,为控股子公司厦门市信达安贸易有限公司(以下简称“信达安”)向兴业银行股份有限公司厦门分行申请10,000万元的融资额度提供连带责任担保,期限1年10个月。",2025-07-12
20,code.000809,和展能源,对外担保,"为满足业务发展需要,辽宁和展能源集团股份有限公司(以下简称“公司”)二级全资子公司辽宁昌和风电设备有限公司(以下简称“昌和风电”)向上海浦东发展银行股份有限公司铁岭分行(以下简称“浦发银行”)申请不超过人民币8,000万元授信。2025年6月30日,公司与浦发银行签署《最高额保证合同》,公司为昌和风电向浦发银行在2025年6月25日至2026年6月24日期间内办理各类融资业务以本金余额最高不超过人民币5,000万元为限提供连带责任保证担保,公司对债权发生期间内各单笔借款合同项下分期履行的还款义务承担保证责任,保证期间为自每笔债权合同债务履行期届满之日起至该单笔合同最后一期还款期限届满之日后三年。",2025-07-12
21,code.000926,福星股份,对外担保,"2025年7月8日,公司全资子公司湖北福星惠誉后湖置业有限公司(以下简称后湖置业)与中国中信金融资产管理股份有限公司湖北省分公司(以下简称中信资管)签署《保证协议》,为湖北福星惠誉三眼桥置业有限公司(以下简称三眼桥置业)对中信资管所欠债务9,000万元提供连带责任保证,担保期间为主协议约定的债务履行期限届满之日起三年。",2025-07-12
22,code.000953,河化股份,资产重组,"根据广西河池化工股份有限公司(以下简称“公司”)战略规划的需要,公司拟借助专业机构的专业力量及资源优势,整合各方资源,提高公司资金利用率,2025年7月11日,公司作为有限合伙人与专业投资机构宁波梅山保税港区兴融盛资产管理有限公司(以下简称“兴融盛管理”)、杨爱婷共同签署了《深圳鹏誉弘源创业投资合伙企业(有限合伙)合伙协议》(以下简称“本协议”或“合伙协议”),拟共同出资设立深圳鹏誉弘源创业投资合伙企业(有限合伙)(以下简称“鹏誉弘源”或“合伙企业”“基金”,最终名称以工商核准登记名称为准)。首批合伙人的认缴出资额1100万元人民币,其中公司以自有资金出资人民币500万元,占鹏誉弘源认缴出资总额的45.45%。",2025-07-12
23,code.000970,中科三环,对外担保,"近日,北京中科三环高技术股份有限公司(以下简称“公司”)之控股子公司天津三环乐喜新材料有限公司(以下简称“三环乐喜”)与国家开发银行天津市分行(以下简称“国家开发银行”)签订了《人民币资金借款合同》,由国家开发银行向三环乐喜提供人民币10,000万元借款(借款期限1年),公司为上述借款提供担保。",2025-07-12
24,code.001317,三羊马,资产重组,"三羊马(重庆)物流股份有限公司(以下简称“三羊马”或“公司”)全资子公司三羊马数园科技(重庆)有限公司(以下简称“数园科技”)作为有限合伙人于2025年7月11日与普通合伙人上海海川私募基金管理有限公司,及其他有限合伙人共同签署《苏州驭光之川创业投资合伙企业(有限合伙)合伙协议》(以下简称“合伙协议”),共同投资设立苏州驭光之川创业投资合伙企业(有限合伙)(以下简称“合伙企业”),合伙企业全体合伙人的认缴出资总额为人民币15,442.42万元,数园科技以自有资金认缴出资人民币2,000万元,占比12.9513%。",2025-07-12
